fixture_id,home_team_winning_odd,away_team_winning_odd
1183342,1.7435714285714285,5.190714285714286
1183347,2.3578571428571427,3.055
1194368,1.4925,5.02
1202873,1.9124999999999999,4.08625
1202878,2.6242857142857146,2.795714285714286
1203021,1.6753846153846155,4.663076923076923
1206111,1.7157142857142857,4.656428571428571
1206112,4.706428571428572,1.6842857142857142
1206113,3.2199999999999998,2.1542857142857144
1206114,1.3599999999999999,7.297142857142857
1207704,1.536,5.242
1207705,1.8199999999999998,4.064
1211556,3.0075000000000003,2.1775
1211557,2.07,3.235
1211559,1.26,10.2375
1211560,2.6275,2.5374999999999996
1211662,2.129,2.806
1211667,4.436999999999999,1.6
1211668,2.1100000000000003,3.112
1214413,2.065,3.4966666666666666
1215964,2.7935714285714286,2.5264285714285712
1215971,2.7471428571428573,2.5707142857142857
1215972,2.573571428571429,2.687857142857143
1215973,2.0235714285714286,3.4964285714285714
1215974,1.5821428571428573,5.474285714285714
1217610,3.3892857142857147,2.2564285714285712
1217612,2.670714285714286,2.707142857142857
1217614,2.302857142857143,3.266428571428571
1217615,1.8828571428571428,3.882857142857143
1220834,3.0977777777777775,2.2788888888888885
1220835,2.3311111111111114,3.01
1220836,3.2633333333333336,2.2644444444444445
1220837,4.972222222222222,1.62
1220838,2.6125,2.4925
1223391,1.805,3.4566666666666666
1223466,1.7616666666666667,3.6033333333333335
1224752,2.315,2.31
1228023,2.8200000000000003,2.1616666666666666
1228024,2.185,2.62
1228030,2.0288888888888885,3.0344444444444445
1231490,1.9585714285714284,3.492142857142857
1236807,3.5221428571428572,1.9
1236808,3.2271428571428573,1.9971428571428569
1236809,1.7378571428571428,4.145714285714286
1236810,2.1792857142857143,2.8392857142857144
1236811,2.165714285714286,2.9314285714285715
1237399,2.8185714285714285,2.2764285714285717
1237400,2.0628571428571427,3.1671428571428573
1237401,2.4,2.62
1237406,1.7342857142857144,4.253571428571428
1237407,2.837142857142857,2.209285714285714
1237409,2.2642857142857142,2.9035714285714285
1238346,1.5063636363636363,5.69
1238890,3.096,2.205
1243233,1.4977777777777779,5.251111111111111
1245509,1.7661538461538462,4.1984615384615385
1246106,3.013333333333333,1.9633333333333332
1246574,1.5207142857142857,6.349285714285714
1246576,1.167142857142857,13.270714285714286
1246578,1.1485714285714284,17.81357142857143
1252196,2.8578571428571427,2.3528571428571428
1252197,1.8257142857142858,4.12
1252198,2.1992857142857143,3.1614285714285715
1252199,2.6992857142857143,2.5185714285714282
1252200,2.4792857142857145,2.6935714285714285
1252201,1.727857142857143,4.337142857142857
1252202,2.0442857142857145,3.5421428571428573
1253377,2.121,3.128
1253378,2.657,2.505
1257274,1.7314285714285713,3.7842857142857147
1257734,1.3442857142857143,6.62
1257735,1.68,4.142857142857143
1268632,2.4499999999999997,2.643636363636364
1268633,2.3763636363636365,2.9790909090909086
1273952,1.07,30.666666666666668
1273953,1.01,40.5
1282575,1.4725,6.1575
1282578,1.53125,6.0775
1288344,2.575714285714286,2.59
1288345,3.0235714285714286,2.0564285714285715
1289366,1.4177777777777778,6.083333333333333
1289367,1.1266666666666667,15.811111111111112
1289368,1.5322222222222224,5.132222222222222
1290071,2.575,2.47
1291490,1.5150000000000001,5.725
1296038,2.2525,2.7375
1296046,3.065,2.125
1296048,2.59,2.38
1296199,2.177142857142857,3.165714285714286
1296201,1.782857142857143,4.162857142857143
1296205,1.7714285714285716,4.117142857142857
1296209,1.83,3.912857142857143
1296212,2.092857142857143,3.2271428571428573
1297933,7.177,1.361
1297934,1.6500000000000001,4.441428571428571
1299029,1.4264285714285714,6.604285714285715
1299030,6.2821428571428575,1.4785714285714284
1299031,1.4792857142857143,6.792857142857143
1299034,1.7771428571428571,4.095714285714286
1299035,1.0721428571428573,28.917142857142856
1299036,3.875,1.83
1299037,7.651428571428572,1.3807142857142856
1299164,1.2385714285714287,10.932857142857143
1299165,1.7692857142857144,4.257142857142857
1301298,1.188,10.16
1301377,1.4725,4.93125
1301378,6.50875,1.35
1301379,1.4975,5.385
1301380,1.57125,4.3825
1301381,1.5666666666666667,4.778333333333333
